model,case,Time for 0 nice value,Time for custom nice value,Time saved,Time saved per program,Percentage of programs better,Ratio of custom and 0 nice
dt,total,60772374,61005527,-233153,-2332,39.39393939393939,1.0038364964975697
dt,better,24096451,23473895,622556,15962,39.39393939393939,0.9741639961835044
dt,worse,36675923,38009669,-1333746,-21865,39.39393939393939,1.036365710550761
dtb,total,62156756,61908140,248616,2486,38.38383838383838,0.9960001773580333
dtb,better,23729658,22936963,792695,20860,38.38383838383838,0.9665947566543099
dtb,worse,38427098,39826854,-1399756,-22577,38.38383838383838,1.0364262739798877
rf,total,58247919,58017760,230159,2301,50.505050505050505,0.9960486313682726
rf,better,28879303,28122017,757286,15145,50.505050505050505,0.9737775527338731
rf,worse,29368616,30386935,-1018319,-20367,50.505050505050505,1.0346737142805775
knn,total,58529554,58370712,158842,1588,30.303030303030305,0.9972861231780443
knn,better,18233443,17828686,404757,13491,30.303030303030305,0.9778013949422498
knn,worse,40296111,41487596,-1191485,-17022,30.303030303030305,1.0295682379870355
